指定区分,区分,種別,名称,所在地等,指定年月日,追加指定・名称変更,Unnamed: 7,Unnamed: 8,Latitude,Longitude
国指定文化財,国宝,工芸品,太刀　銘　国宗　,黎明館,S39.5.26,,,,Not Found,Not Found
国指定文化財,特別天然記念物,植物,喜入のリュウキュウコウガイ産地,喜入生見町,S27.3.29,,,,31.3115523,130.561718
国指定文化財,重要文化財,建造物,旧鹿児島紡績所技師館,吉野町9685-15,S37.6.21,,,,31.6454415,130.5861361
国指定文化財,重要文化財,建造物,旧集成館機械工場,吉野町,S37.6.21,,,,31.6454415,130.5861361
国指定文化財,重要文化財,建造物,鹿児島旧港施設　新波止　一丁台場　遮断防波堤,本港新町,H19.12.4,,,,31.5935998,130.5627986
国指定文化財,重要文化財,工芸品,太刀　銘　備前国住雲次　,尚古集成館,S2.7.21,,,,31.61734665,130.5763195124337
国指定文化財,重要文化財,工芸品,赤糸威鎧　兜・大袖・杏葉付　,尚古集成館,S39.5.26,,,,31.61734665,130.5763195124337
国指定文化財,重要文化財,考古資料,鹿児島県広田遺跡出土品,黎明館,H18.6.9,,,,Not Found,Not Found
国指定文化財,重要文化財,歴史資料,文禄三年島津氏分国太閤検地尺　石田三成署判　,尚古集成館,S55.6.6,,,,31.61734665,130.5763195124337
国指定文化財,重要文化財,歴史資料,木村嘉平関係資料,尚古集成館,H10.6.30,,,,31.61734665,130.5763195124337
国指定文化財,重要文化財,歴史資料,銀板写真（島津斉彬像）,尚古集成館,H11.6.7,,,,31.61734665,130.5763195124337
国指定文化財,重要文化財,歴史資料,形削盤　1863年、オランダ製,尚古集成館,H12.6.27,,,,31.61734665,130.5763195124337
国指定文化財,重要文化財,歴史資料,大久保利通関係資料,黎明館,H16.6.8,,,,Not Found,Not Found
国指定文化財,重要文化財,歴史資料,犬追物関係資料（島津家伝来）,尚古集成館,H29.9.15,,,,31.61734665,130.5763195124337
国指定文化財,記念物,史跡,城山,城山町,S6.6.3,,,,31.5973265,130.5527082
国指定文化財,記念物,史跡,桂菴墓,伊敷2丁目18,S11.9.30,,,,Not Found,Not Found
国指定文化財,記念物,史跡,旧集成館　附　寺山炭窯跡　関吉の疎水溝,吉野町他,S34.2.25,H26.3.18,,,31.6454415,130.5861361
国指定文化財,記念物,史跡,鹿児島紡績所跡,吉野町9685-15,S34.2.25,H27.3.10,,,31.6454415,130.5861361
国指定文化財,記念物,史跡,大口筋　白銀坂　龍門司坂,宮之浦町他,H18.7.28,,,,31.6773876,130.5708432
国指定文化財,記念物,史跡,鹿児島島津家墓所,池之上町,R2.3.10,,,,31.608865,130.5623034
国指定文化財,記念物,名勝,仙巌園　附　花倉御仮屋庭園,吉野町,S33.5.15,H25.10.17,,,31.6454415,130.5861361
国指定文化財,記念物,名勝,旧島津氏玉里邸庭園,玉里町27-20,H19.7.26,,,,Not Found,Not Found
国指定文化財,天然記念物,植物,キイレツチトリモチ産地,吉野町,T10.3.3,,,,31.6454415,130.5861361
国指定文化財,天然記念物,植物,城山,城山町,S6.6.3,,,,31.5973265,130.5527082
国指定文化財,天然記念物,動物,薩摩鶏,市内一円,S18.8.24,,,,Not Found,Not Found
国指定文化財,天然記念物,動物,地頭鶏,市内一円,S18.8.24,,,,Not Found,Not Found
県指定文化財,有形文化財,建造物,西田橋,浜町7,S28.9.7,,,,Not Found,Not Found
県指定文化財,有形文化財,建造物,花尾神社本殿（附宮殿三基）・祝詞殿・幣殿・拝殿,花尾町,H14.4.23,,,,31.7066787,130.4934434
県指定文化財,有形文化財,建造物,八幡神社本殿 附 宮殿 宮殿敷板1枚 棟札14枚,本名町,H17.4.19,,,,31.7002997,130.5353245
県指定文化財,有形文化財,建造物,旧鹿児島刑務所正門,永吉1丁目30-1,H27.4.17,,,,Not Found,Not Found
県指定文化財,有形文化財,絵画,釈迦八相之図,黎明館,S30.1.14,,,,Not Found,Not Found
県指定文化財,有形文化財,絵画,富嶽雲烟之図　一幅,市立美術館,S42.3.31,,,,31.595810450000002,130.55342285019285
県指定文化財,有形文化財,絵画,武将像(伝島津忠久画像)　一幅,尚古集成館,S54.3.14,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,彫刻,不動明王像,南林寺町,S30.1.14,,,,31.5847228,130.5602812
県指定文化財,有形文化財,彫刻,伝島津忠昌像,尚古集成館,H7.4.12,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,彫刻,大権現忠国（島津忠国）像,尚古集成館,H7.4.12,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,工芸品,玩具コレクション,黎明館,S29.5.24,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,紡績機,尚古集成館,S31.9.27,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,工芸品,刀 銘 薩州住藤原正房　一口,黎明館,S31.9.27,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,刀 銘 主馬首一平安代　一口,黎明館,S31.9.27,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,刀 銘 奥大和守平朝臣元平,黎明館,S53.3.8,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,刀 銘 （一葉葵紋）主馬首一平藤原安代,黎明館,S58.4.13,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,刀 銘 （一葉葵紋）主水正藤原正清,黎明館,S58.4.13,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,茶器　平野肩衝　一口　附　目録並附属品,尚古集成館,S55.3.31,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,工芸品,薩摩硝子　島津家伝来,尚古集成館,H17.4.19,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,工芸品,葵牡丹紋七宝繋蒔絵雛道具,尚古集成館,H20.4.22,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,工芸品,白釉茶碗火計手,市立美術館,H23.4.19,,,,31.595810450000002,130.55342285019285
県指定文化財,有形文化財,工芸品,黒蛇蝎釉茶碗,黎明館,H23.4.19,,,,Not Found,Not Found
県指定文化財,有形文化財,工芸品,白蛇蝎釉茶碗,黎明館,H23.4.19,,,,Not Found,Not Found
県指定文化財,有形文化財,歴史資料,島津貴久所用時雨の旗一旒ほか十六旒,尚古集成館,S62.3.16,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,歴史資料,英艦入港戦争図（薩英戦争絵巻）,尚古集成館,H9.4.21,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,古文書,規式・料理関係文書,尚古集成館,H18.4.21,,,,31.61734665,130.5763195124337
県指定文化財,有形文化財,書跡,東郷家古文書,東千石町,S34.10.23,,,,31.5912759,130.5527458
県指定文化財,有形文化財,書跡,敬天愛人　一幅,西郷南洲顕彰館,S42.3.31,,,,Not Found,Not Found
県指定文化財,有形文化財,書跡,為政清明　一幅,市立美術館,S42.3.31,,,,31.595810450000002,130.55342285019285
県指定文化財,有形文化財,書跡,桑幡文書,黎明館,S29.3.15,,,,Not Found,Not Found
県指定文化財,有形文化財,考古資料,大永の名号板碑,郡元2丁目,S34.6.10,,,,Not Found,Not Found
県指定文化財,有形文化財,考古資料,山ノ口遺跡出土品,黎明館,H27.4.17,,,,Not Found,Not Found
県指定文化財,有形文化財,考古資料,出水貝塚出土品,鹿児島女子短期大学,R3.4.23,,,,31.5826093,130.5513564994888
県指定文化財,無形文化財,芸能,薩摩琵琶,同好会（草牟田2丁目）,S37.10.24,,,,Not Found,Not Found
県指定文化財,無形文化財,芸能,天吹,同好会（上之園町）,H2.3.23,,,,Not Found,Not Found
県指定文化財,有形民俗文化財,民俗資料,鹿児島市山田町の田の神,山田町2275,S41.3.11,,,,Not Found,Not Found
県指定文化財,有形民俗文化財,民俗資料,鹿児島市川上町の田の神,川上町826-4,S41.3.11,,,,31.6585387,130.5608267
県指定文化財,有形民俗文化財,民俗資料,松元町入佐の田の神,入佐町1168-3,S43.3.29,,,,31.5863224,130.412568
県指定文化財,無形民俗文化財,民俗芸能,鹿児島市中山町の虚無僧踊,中山町,S38.6.17,,,,31.537532849999998,130.47943329790803
県指定文化財,無形民俗文化財,民俗芸能,本城花尾神社春祭り,本城町,H30.4.20,,,,31.7158925,130.5517828
県指定文化財,記念物,史跡,鶴丸城跡,城山町5-1,S28.9.7,,,,Not Found,Not Found
県指定文化財,記念物,史跡,弥生式住居跡,郡元2丁目,S28.9.7,,,,Not Found,Not Found
県指定文化財,記念物,史跡,平田靱負屋敷跡,平之町6-1,S29.5.24,,,,31.591252,130.5471566
県指定文化財,記念物,史跡,南洲墓地,上竜尾町2,S30.1.14,,,,Not Found,Not Found
県指定文化財,記念物,史跡,私学校跡石塀,城山町8-1,S43.3.29,,,,Not Found,Not Found
県指定文化財,記念物,史跡,川田堂園の供養塔群,川田町,S38.6.17,,,,31.6723345,130.5031422
県指定文化財,記念物,史跡,刀匠玉置家歴代の墓,喜入町,S60.4.19,,,,31.3701024,130.5418877
県指定文化財,記念物,史跡,祇園之洲台場跡,清水町10-2外,R4.4.26,,,,Not Found,Not Found
県指定文化財,記念物,名勝,桜島,鹿児島市,S29.3.15,,,,Not Found,Not Found
県指定文化財,天然記念物,地質鉱物,噴火により埋没した鳥居・門柱,黒神町,S33.4.23,,,,31.5812311,130.7062834
県指定文化財,天然記念物,地質鉱物,鹿児島市西佐多町の吉田貝化石層,西佐多町,H20.4.22,,,,31.738289,130.540461
県指定文化財,天然記念物,地質鉱物,薩摩隕石,県立博物館,H27.4.17,,,,31.5941079,130.55276209201836
県指定文化財,天然記念物,地質鉱物,スレッドレーススコリア,県立博物館,H28.4.19,,,,31.5941079,130.55276209201836
県指定文化財,天然記念物,地質鉱物,大隅石（オオスミライト）標本,県立博物館,R3.4.23,,,,31.5941079,130.55276209201836
県指定文化財,天然記念物,植物,特殊羊歯類及び蘚類の自生地,東桜島町,S35.6.20,,,,31.556073,130.638091
県指定文化財,天然記念物,植物,世界で初めて精子が発見されたソテツ,城山町,H20.4.22,,,,31.5973265,130.5527082
県指定文化財,天然記念物,動物,ウシウマの骨格,県立博物館,S38.6.17,,,,31.5941079,130.55276209201836
市指定文化財,有形文化財,建造物,旧島津氏玉里邸長屋門,玉里町27番1号,H28.3.23,,,,Not Found,Not Found
市指定文化財,有形文化財,絵画,黒田清輝作　「アトリエ」,市立美術館,S49.3.15,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,黒田清輝作　「桜島噴火連作６点」,市立美術館,S49.3.15,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,八田知紀筆　「竹」,市立美術館,S49.3.15,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,藤島武二作　「裸體習作」,市立美術館,S52.5.20,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,藤島武二作　「中国風景」,市立美術館,S52.5.20,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,和田英作作　「赤いマッチ」,市立美術館,S52.5.20,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,有島生馬作　「スザンナ」,市立美術館,S55.5.28,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,有島生馬作　「巴里娘」,市立美術館,S55.5.28,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,絵画,桃田柳栄筆　「官女図巻」一巻,市立美術館,H3.2.27,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,彫刻,安藤照作　「西郷隆盛銅像」,城山町4,R4.4.21,,,,31.5973265,130.5527082
市指定文化財,有形文化財,工芸品,小田派諸工匠の鍔　２４枚,黎明館,S49.3.15,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 波平行周文化八年二月　日,黎明館,S52.5.20,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 薩州住藤原正盛,黎明館,S52.5.20,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 主馬首藤原朝臣安代子一平安在作,黎明館,S52.5.20,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 波平安氏,城山2丁目,S52.5.20,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 大和守波平安行,黎明館,S52.5.20,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 奥大和守平朝臣元平,松原町,S52.5.20,,,,31.5872232,130.5590378
市指定文化財,有形文化財,工芸品,短刀　銘　波平友安作「八月吉日」,黎明館,S55.5.28,,,,Not Found,Not Found
市指定文化財,有形文化財,工芸品,刀 銘 波平近安,黎明館,S58.4.12,,,,Not Found,Not Found
市指定文化財,有形文化財,歴史資料,天保年間鹿児島城下絵図,市立美術館,H1.3.31,,,,31.595810450000002,130.55342285019285
市指定文化財,有形文化財,歴史資料,市来家文書,黎明館,H17.3.31,,,,Not Found,Not Found
市指定文化財,有形文化財,考古資料,掃除山遺跡出土品  一括,考古歴史館,H11.2.15,,,,Not Found,Not Found
市指定文化財,有形文化財,考古資料,草野貝塚出土品  一括,考古歴史館,H11.2.15,,,,Not Found,Not Found
市指定文化財,有形文化財,考古資料,不動寺遺跡出土品（破鏡及び?製鏡）,考古歴史館,H29.2.17,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,肥田の田の神,伊敷7丁目5156,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,西田の田の神,薬師2丁目31-1西田小,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,武一丁目の田の神,武1丁目12-15,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,梶原迫の田の神,宇宿町8丁目7-11,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,川口の田の神,五ヶ別府町476,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,蕨野の田の神,星ヶ峯団地第3公園,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,札下の田の神,山田町729-6,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,滝ノ下の田の神,中山町19-1,S57.3.24,,,,31.537532849999998,130.47943329790803
市指定文化財,有形民俗文化財,民俗資料,入来の田の神,東谷山7丁目15-8　,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,木ノ下の田の神,谷山中央4丁目158,S57.3.24,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,新村の田の神,伊敷6丁目3,H1.3.31,,,,Not Found,Not Found
市指定文化財,有形民俗文化財,民俗資料,東下の田の神,東佐多町,H17.3.31,,,,31.733092,130.572752
市指定文化財,有形民俗文化財,民俗資料,鵜木の田の神と石碑,西佐多町,H17.3.31,,,,31.738289,130.540461
市指定文化財,有形民俗文化財,民俗資料,帖地の田の神,喜入生見町,H17.3.31,,,,31.3115523,130.561718
市指定文化財,有形民俗文化財,民俗資料,森園の田の神,春山町,H17.3.31,,,,31.5783772,130.4569985
市指定文化財,有形民俗文化財,民俗資料,上園の田の神,郡山町,H17.3.31,,,,31.6961814,130.4638318
市指定文化財,有形民俗文化財,民俗資料,茄子田の田の神,花尾町,H17.3.31,,,,31.7066787,130.4934434
市指定文化財,有形民俗文化財,民俗資料,弘治期の十三仏設斎碑,東佐多町,H17.3.31,,,,31.733092,130.572752
市指定文化財,有形民俗文化財,民俗資料,大永期の勧請石碑,東佐多町,H17.3.31,,,,31.733092,130.572752
市指定文化財,有形民俗文化財,民俗資料,六字名号供養百万遍石塔,東佐多町,H17.3.31,,,,31.733092,130.572752
市指定文化財,有形民俗文化財,民俗資料,本名八幡の庚申石幢,本名町,H17.3.31,,,,31.7002997,130.5353245
市指定文化財,有形民俗文化財,民俗資料,宮之浦の三重石塔,宮之浦町,H17.3.31,,,,31.6773876,130.5708432
市指定文化財,有形民俗文化財,民俗資料,方崎（穂崎）の庚申塔,桜島横山町11-1,H17.3.31,,,,31.5915552,130.6057403
市指定文化財,有形民俗文化財,民俗資料,藤野の庚申塔,桜島藤野町31-3,H17.3.31,,,,31.616968,130.627643
市指定文化財,有形民俗文化財,民俗資料,黒地蔵,喜入中名町56-1,H17.3.31,,,,31.3926581,130.5298127
市指定文化財,有形民俗文化財,民俗資料,有屋田の庚申供養三層塔,有屋田町,H17.3.31,,,,31.6649016,130.4457644
市指定文化財,有形民俗文化財,民俗資料,庚申仁王石像,本城町,H17.8.1,,,,31.7158925,130.5517828
市指定文化財,無形民俗文化財,民俗芸能,山田の鉦踊り,山田町,S52.8.19,,,,Not Found,Not Found
市指定文化財,無形民俗文化財,民俗芸能,桜島・島廻り節,東桜島町,S52.8.19,,,,31.556073,130.638091
市指定文化財,無形民俗文化財,民俗芸能,西田橋・地つき唄,草牟田1丁目,S52.8.19,,,,Not Found,Not Found
市指定文化財,無形民俗文化財,民俗芸能,玉利の鎌手踊り,下福元町,H1.3.31,,,,31.5024818,130.4836019
市指定文化財,無形民俗文化財,民俗芸能,小池島廻り踊り,桜島小池町,H17.3.31,,,,31.596511,130.604296
市指定文化財,無形民俗文化財,民俗芸能,岩戸の疱瘡踊り,花尾町,H17.3.31,,,,31.7066787,130.4934434
市指定文化財,無形民俗文化財,民俗芸能,花尾の太鼓踊り,花尾町,H17.3.31,,,,31.7066787,130.4934434
市指定文化財,無形民俗文化財,民俗芸能,大平の獅子舞,花尾町,H17.3.31,,,,31.7066787,130.4934434
市指定文化財,無形民俗文化財,民俗芸能,西俣の八丁杵踊り,西俣町,H17.3.31,,,,31.696291,130.4511288
市指定文化財,無形民俗文化財,民俗芸能,西上の太鼓踊り,東俣町,H17.3.31,,,,31.6879425,130.5013237
市指定文化財,無形民俗文化財,風俗慣習,鹿児島?園祭（おぎおんさあ）巡行行事,東千石町,H24.7.11,,,,31.5912759,130.5527458
市指定文化財,記念物,史跡,西郷隆盛洞窟,城山町19-9,S49.3.15,,,,31.5973265,130.5527082
市指定文化財,記念物,史跡,西郷隆盛終焉の地,城山町12-7,S49.3.15,,,,Not Found,Not Found
市指定文化財,記念物,史跡,天保山砲台跡,天保山町24,S49.3.15,,,,Not Found,Not Found
市指定文化財,記念物,史跡,坐（座）禅石,城山1丁目45-27,S52.5.20,,,,Not Found,Not Found
市指定文化財,記念物,史跡,本立寺跡,清水町,H1.3.31,,,,Not Found,Not Found
市指定文化財,記念物,史跡,南泉院歴代住職の墓,小野3丁目,H1.3.31,,,,Not Found,Not Found
市指定文化財,記念物,史跡,心岳寺跡,吉野町,H12.10.12,,,,31.6454415,130.5861361
市指定文化財,記念物,史跡,仏智山津友寺跡,西佐多町295,H17.3.31,,,,Not Found,Not Found
市指定文化財,記念物,史跡,桐野利秋田廬跡と田廬碑,本城町,H17.3.31,,,,31.7158925,130.5517828
市指定文化財,記念物,史跡,寺前の五輪塔と宝塔,本名町,H17.3.31,,,,31.7002997,130.5353245
市指定文化財,記念物,史跡,島津義弘蟄居跡,桜島藤野町,H17.3.31,,,,31.616968,130.627643
市指定文化財,記念物,史跡,沖小島砲台跡,桜島横山町沖小島2,H17.3.31,,,,Not Found,Not Found
市指定文化財,記念物,史跡,武貝塚,桜島武町,H17.3.31,,,,31.612032,130.619473
市指定文化財,記念物,史跡,仙寿院跡,入佐町,H17.3.31,,,,31.5863224,130.412568
市指定文化財,記念物,史跡,上坊石塔群,上谷口町,H17.3.31,,,,31.5975634,130.4403103
市指定文化財,記念物,史跡,町田家の墓,石谷町,H17.3.31,,,,31.615139,130.4579954
市指定文化財,記念物,史跡,石谷の石坂,石谷町,H17.3.31,,,,31.615139,130.4579954
市指定文化財,記念物,史跡,花尾神社の石塔群,花尾町,H17.3.31,,,,31.7066787,130.4934434
市指定文化財,記念物,史跡,常盤五輪塔群,郡山町,H17.3.31,,,,31.6961814,130.4638318
市指定文化財,記念物,史跡,川田氏累代墓石塔群,川田町,H17.3.31,,,,31.6723345,130.5031422
市指定文化財,記念物,史跡,都迫の念仏かくれ窟,本名町,H17.8.1,,,,31.7002997,130.5353245
市指定文化財,記念物,史跡,喜入牧の苙跡,喜入一倉町,H27.9.2,,,,31.3509678,130.51259
市指定文化財,記念物,史跡,清泉寺跡,下福元町,R4.4.21,,,,31.5024818,130.4836019
市指定文化財,記念物,名勝,慈眼寺跡,下福元町3816,S49.8.23,,,,Not Found,Not Found
市指定文化財,天然記念物,植物,藤崎家の大楊梅,桜島藤野町,H17.3.31,,,,31.616968,130.627643
市指定文化財,天然記念物,植物,ｷｲﾚﾂﾁﾄﾘﾓﾁ自生地,喜入町6236-1,H17.3.31,,,,31.3701024,130.5418877
市指定文化財,天然記念物,植物,郡山花尾神社の社叢林,花尾町,H31.2.7,,,,31.7066787,130.4934434
登録文化財,登録有形文化財,建造物,鹿児島県立博物館考古資料館,城山町1-1,H10.12.11,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,鹿児島市庁舎本館,山下町11-1,H10.12.11,,,,31.5959731,130.556694
登録文化財,登録有形文化財,建造物,南日本銀行本店,山下町,H10.12.11,,,,31.5959731,130.556694
登録文化財,登録有形文化財,建造物,旧島津家芹ヶ野金山鉱業事業所,吉野町,H11.8.23,,,,31.6454415,130.5861361
登録文化財,登録有形文化財,建造物,旧島津家吉野殖林所,吉野町,H11.8.23,,,,31.6454415,130.5861361
登録文化財,登録有形文化財,建造物,仙巌園内濾過池,吉野町,H13.8.28,,,,31.6454415,130.5861361
登録文化財,登録有形文化財,建造物,鹿児島県立鹿児島工業高等学校大煙突,草牟田2丁目57-1,H16.6.9,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,鹿児島市中央公民館,山下町5-9,H17.11.10,,,,31.5959731,130.556694
登録文化財,登録有形文化財,建造物,鹿児島大学総合研究博物館常設展示室　一棟,郡元1丁目21,H18.10.18,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,南洲神社電燈　一対,上竜尾町,H18.10.18,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,潮音館（旧重富島津家住宅米蔵）,清水町,H19.5.15,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,鹿児島県立甲南高等学校本館,上之園町23-1,H19.7.31,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,鹿児島県立鹿児島中央高等学校本館及び講堂,加治屋町10-1,H19.7.31,,,,31.5854359,130.5482833
登録文化財,登録有形文化財,建造物,鹿児島旧港北防波堤灯台,本港新町,H20.3.7,,,,31.5935998,130.5627986
登録文化財,登録有形文化財,建造物,県政記念館（旧鹿児島県庁舎本館）,山下町14-50,H20.4.18,,,,31.5959731,130.556694
登録文化財,登録有形文化財,建造物,旧鹿児島県庁舎正面門,山下町14,H20.4.18,,,,31.5915552,130.6057403
登録文化財,登録有形文化財,建造物,旧鹿児島県立尋常中学校門,山下町14,H20.4.18,,,,31.5915552,130.6057403
登録文化財,登録有形文化財,建造物,鹿児島県立博物館（旧鹿児島県立図書館）,城山町1-1,H20.4.18,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,鹿児島県民教育文化研究所,春日町,H26.4.25,,,,31.6061193,130.5649877
登録文化財,登録有形文化財,建造物,旧重富島津家別邸主屋,清水町,H26.4.25,,,,Not Found,Not Found
登録文化財,登録有形文化財,建造物,旧重富島津家別邸石塀,清水町,H26.4.25,,,,Not Found,Not Found
